scenario,perturbed_domain,delta,I,R,S,PCI,RPCI,PCI_change,RPCI_change
A: Pre-Intervention,I_investment,-0.1,0.72,0.48,0.12,0.426,0.3824,-0.03,-0.025
A: Pre-Intervention,I_investment,-0.05,0.77,0.48,0.12,0.441,0.395,-0.015,-0.0125
A: Pre-Intervention,I_investment,0.0,0.82,0.48,0.12,0.456,0.4074,0.0,0.0
A: Pre-Intervention,I_investment,0.05,0.87,0.48,0.12,0.471,0.4199,0.015,0.0124
A: Pre-Intervention,I_investment,0.1,0.92,0.48,0.12,0.486,0.4322,0.03,0.0248
A: Pre-Intervention,R_regulatory,-0.1,0.82,0.38,0.12,0.421,0.374,-0.035,-0.0334
A: Pre-Intervention,R_regulatory,-0.05,0.82,0.43,0.12,0.4385,0.3908,-0.0175,-0.0166
A: Pre-Intervention,R_regulatory,0.0,0.82,0.48,0.12,0.456,0.4074,0.0,0.0
A: Pre-Intervention,R_regulatory,0.05,0.82,0.53,0.12,0.4735,0.4239,0.0175,0.0164
A: Pre-Intervention,R_regulatory,0.1,0.82,0.58,0.12,0.491,0.4401,0.035,0.0327
A: Pre-Intervention,S_stakeholder,-0.1,0.82,0.48,0.02,0.421,0.3701,-0.035,-0.0374
A: Pre-Intervention,S_stakeholder,-0.05,0.82,0.48,0.07,0.4385,0.3888,-0.0175,-0.0187
A: Pre-Intervention,S_stakeholder,0.0,0.82,0.48,0.12,0.456,0.4074,0.0,0.0
A: Pre-Intervention,S_stakeholder,0.05,0.82,0.48,0.17,0.4735,0.4261,0.0175,0.0186
A: Pre-Intervention,S_stakeholder,0.1,0.82,0.48,0.22,0.491,0.4446,0.035,0.0372
B: Post-Charter III,I_investment,-0.1,0.6,0.75,0.55,0.635,0.5965,-0.03,-0.0286
B: Post-Charter III,I_investment,-0.05,0.65,0.75,0.55,0.65,0.6111,-0.015,-0.014
B: Post-Charter III,I_investment,0.0,0.7,0.75,0.55,0.665,0.6251,0.0,0.0
B: Post-Charter III,I_investment,0.05,0.75,0.75,0.55,0.68,0.6385,0.015,0.0135
B: Post-Charter III,I_investment,0.1,0.8,0.75,0.55,0.695,0.6516,0.03,0.0265
B: Post-Charter III,R_regulatory,-0.1,0.7,0.65,0.55,0.63,0.5941,-0.035,-0.031
B: Post-Charter III,R_regulatory,-0.05,0.7,0.7,0.55,0.6475,0.6099,-0.0175,-0.0152
B: Post-Charter III,R_regulatory,0.0,0.7,0.75,0.55,0.665,0.6251,0.0,0.0
B: Post-Charter III,R_regulatory,0.05,0.7,0.8,0.55,0.6825,0.64,0.0175,0.0149
B: Post-Charter III,R_regulatory,0.1,0.7,0.85,0.55,0.7,0.6547,0.035,0.0296
B: Post-Charter III,S_stakeholder,-0.1,0.7,0.75,0.45,0.63,0.5873,-0.035,-0.0378
B: Post-Charter III,S_stakeholder,-0.05,0.7,0.75,0.5,0.6475,0.6062,-0.0175,-0.0189
B: Post-Charter III,S_stakeholder,0.0,0.7,0.75,0.55,0.665,0.6251,0.0,0.0
B: Post-Charter III,S_stakeholder,0.05,0.7,0.75,0.6,0.6825,0.6439,0.0175,0.0189
B: Post-Charter III,S_stakeholder,0.1,0.7,0.75,0.65,0.7,0.6627,0.035,0.0376
C: SCIPRA-Optimised,I_investment,-0.1,0.65,0.8,0.79,0.7515,0.7094,-0.03,-0.0329
C: SCIPRA-Optimised,I_investment,-0.05,0.7,0.8,0.79,0.7665,0.7258,-0.015,-0.0164
C: SCIPRA-Optimised,I_investment,0.0,0.75,0.8,0.79,0.7815,0.7423,0.0,0.0
C: SCIPRA-Optimised,I_investment,0.05,0.8,0.8,0.79,0.7965,0.7581,0.015,0.0158
C: SCIPRA-Optimised,I_investment,0.1,0.85,0.8,0.79,0.8115,0.7704,0.03,0.0281
C: SCIPRA-Optimised,R_regulatory,-0.1,0.75,0.7,0.79,0.7465,0.7074,-0.035,-0.0349
C: SCIPRA-Optimised,R_regulatory,-0.05,0.75,0.75,0.79,0.764,0.7258,-0.0175,-0.0165
C: SCIPRA-Optimised,R_regulatory,0.0,0.75,0.8,0.79,0.7815,0.7423,0.0,0.0
C: SCIPRA-Optimised,R_regulatory,0.05,0.75,0.85,0.79,0.799,0.7571,0.0175,0.0148
C: SCIPRA-Optimised,R_regulatory,0.1,0.75,0.9,0.79,0.8165,0.7716,0.035,0.0293
C: SCIPRA-Optimised,S_stakeholder,-0.1,0.75,0.8,0.69,0.7465,0.7066,-0.035,-0.0357
C: SCIPRA-Optimised,S_stakeholder,-0.05,0.75,0.8,0.74,0.764,0.7251,-0.0175,-0.0172
C: SCIPRA-Optimised,S_stakeholder,0.0,0.75,0.8,0.79,0.7815,0.7423,0.0,0.0
C: SCIPRA-Optimised,S_stakeholder,0.05,0.75,0.8,0.84,0.799,0.7575,0.0175,0.0152
C: SCIPRA-Optimised,S_stakeholder,0.1,0.75,0.8,0.89,0.8165,0.7721,0.035,0.0299
